date,vis,hom,vis_score,hom_score,line,tag
20011230,MIN,GNB,13,24,12,1.0
20011230,NYG,PHI,21,24,5,1.0
20011230,OAK,DEN,17,23,1,0.0
20011230,PIT,CIN,23,26,-8,0.0
20011230,SEA,SDG,25,22,1.5,1.0
20011230,SFO,DAL,21,27,-6.5,0.0
20011230,WAS,NOR,40,10,5,1.0
20020106,ARI,WAS,17,20,3.5,1.0
20020106,ATL,STL,13,31,14.5,0.0
20020106,BUF,MIA,7,34,6.5,0.0
20020106,CIN,TEN,23,21,5.5,1.0
20020106,CLE,PIT,7,28,7,0.0
20020106,DAL,DET,10,15,-3,0.0
20020106,DEN,IND,10,29,2,0.0
20020106,GNB,NYG,34,25,-3,1.0
20020106,JAX,CHI,13,33,6,0.0
20020106,KAN,SEA,18,21,3.5,1.0
20020106,NWE,CAR,38,6,-6.5,1.0
20020106,NYJ,OAK,24,22,4.5,1.0
20020106,PHI,TAM,17,13,3,1.0
20020106,SFO,NOR,38,0,-2.5,1.0
20020107,MIN,BAL,3,19,10,0.0
20020905,SFO,NYG,16,13,-4,0.0
20020908,ARI,WAS,23,31,6,0.0
20020908,ATL,GNB,34,37,7,1.0
20020908,BAL,CAR,7,10,0,0.0
20020908,DAL,HOU,10,19,-8.5,0.0
20020908,DET,MIA,21,49,9.5,0.0
20020908,IND,JAX,28,25,-3.5,0.0
20020908,KAN,CLE,40,39,2,1.0
20020908,MIN,CHI,23,27,4.5,1.0
20020908,NOR,TAM,26,20,6,1.0
20020908,NYJ,BUF,37,31,-3,1.0
20020908,PHI,TEN,24,27,2,0.0
20020908,SDG,CIN,34,6,3,1.0
20020908,SEA,OAK,17,31,7.5,0.0
20020908,STL,DEN,16,23,-3,0.0
20020909,PIT,NWE,14,30,-2.5,0.0
20020915,ARI,SEA,24,13,4,1.0
20020915,BUF,MIN,45,39,3.5,1.0
20020915,CHI,ATL,14,13,2.5,1.0
20020915,CIN,CLE,7,20,3.5,0.0
20020915,DEN,SFO,24,14,3.5,1.0
20020915,DET,CAR,7,31,3,0.0
20020915,GNB,NOR,20,35,-2.5,0.0
20020915,HOU,SDG,3,24,13.5,0.0
20020915,JAX,KAN,23,16,3.5,1.0
20020915,MIA,IND,21,13,0,1.0
